year,fips3,municipio,sex,agegrp,population
2006,3,Aguada,0,14,1613
2007,3,Aguada,0,14,1669
2008,3,Aguada,0,14,1732
2009,3,Aguada,0,14,1800
2000,3,Aguada,0,15,876
2001,3,Aguada,0,15,923
2002,3,Aguada,0,15,973
2003,3,Aguada,0,15,1026
2004,3,Aguada,0,15,1068
2005,3,Aguada,0,15,1140
2006,3,Aguada,0,15,1192
2007,3,Aguada,0,15,1247
2008,3,Aguada,0,15,1301
2009,3,Aguada,0,15,1361
2000,3,Aguada,0,16,652
2001,3,Aguada,0,16,686
2002,3,Aguada,0,16,718
2003,3,Aguada,0,16,752
2004,3,Aguada,0,16,785
2005,3,Aguada,0,16,805
2006,3,Aguada,0,16,840
2007,3,Aguada,0,16,879
2008,3,Aguada,0,16,916
2009,3,Aguada,0,16,946
2000,3,Aguada,0,17,486
2001,3,Aguada,0,17,497
2002,3,Aguada,0,17,511
2003,3,Aguada,0,17,522
2004,3,Aguada,0,17,532
2005,3,Aguada,0,17,534
2006,3,Aguada,0,17,541
2007,3,Aguada,0,17,543
2008,3,Aguada,0,17,548
2009,3,Aguada,0,17,551
2000,3,Aguada,0,18,365
2001,3,Aguada,0,18,367
2002,3,Aguada,0,18,366
2003,3,Aguada,0,18,370
2004,3,Aguada,0,18,375
2005,3,Aguada,0,18,383
2006,3,Aguada,0,18,390
2007,3,Aguada,0,18,400
2008,3,Aguada,0,18,409
2009,3,Aguada,0,18,421
2000,3,Aguada,1,0,20641
2001,3,Aguada,1,0,20742
2002,3,Aguada,1,0,20810
2003,3,Aguada,1,0,20871
2004,3,Aguada,1,0,20921
2005,3,Aguada,1,0,20935
2006,3,Aguada,1,0,20883
2007,3,Aguada,1,0,20801
2008,3,Aguada,1,0,20722
2009,3,Aguada,1,0,20660
2000,3,Aguada,1,1,1650
2001,3,Aguada,1,1,1615
2002,3,Aguada,1,1,1567
2003,3,Aguada,1,1,1514
2004,3,Aguada,1,1,1464
